age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1333,52.60457774269929,1,25.0,0.07501875468867217,1201,47.39542225730071,3,75.0,0.2497918401332223,2534,1.0282922395182366,4,0.01169214580105814,0.15785319652722968
10-19,2232,51.274982770503094,0,0.0,0.0,2121,48.7250172294969,0,0.0,0.0,4353,1.7664388786988492,0,0.0,0.0
20-29,6775,45.32985414157634,12,75.0,0.1771217712177122,8171,54.67014585842366,4,25.0,0.04895361644841513,14950,6.066680734332137,16,0.04676858320423256,0.10702341137123746
30-39,9202,45.73331345360568,43,65.15151515151516,0.46728971962616817,10919,54.26668654639432,23,34.84848484848485,0.21064200018316698,20125,8.166685603908647,66,0.19292040571745928,0.32795031055900625
40-49,13799,42.57636531934588,217,71.61716171617162,1.5725777230234075,18611,57.423634680654125,86,28.38283828382838,0.4620923109988716,32411,13.152320353206617,303,0.885680044430154,0.9348677917990806
50-59,20276,46.25527546481123,905,76.17845117845118,4.463405010850266,23559,53.74472453518878,283,23.82154882154882,1.2012394414024363,43837,17.788968786014575,1188,3.472567302914267,2.7100394643794057
60-69,19343,59.39995086598698,2613,75.95930232558139,13.508762859949336,13221,40.60004913401302,827,24.040697674418603,6.255200060509796,32565,13.214813251740873,3440,10.05524538891,10.563488407799786
70-79,19699,56.99942129629629,6250,69.45216135126125,31.727498857810044,14861,43.0005787037037,2749,30.54783864873875,18.498082228652176,34560,14.02438034638921,8999,26.30440501593055,26.03877314814815
80-89,16909,40.40092705421356,7684,54.96423462088698,45.44325507126382,24944,59.599072945786446,6296,45.035765379113016,25.240538806927514,41860,16.986706056129986,13980,40.8640495746982,33.39703774486383
>=90,3885,20.22173641474079,1982,31.89058728881738,51.01673101673102,15327,79.77826358525921,4233,68.10941271118263,27.617929144646702,19212,7.7961919911698345,6215,18.166671538394084,32.349573183427026
unknown,6,28.57142857142857,0,0.0,0.0,15,71.42857142857143,0,0.0,0.0,21,0.008521758891035111,0,0.0,0.0
