age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,118,58.415841584158414,0,0.0,0.0,84,41.584158415841586,0,0.0,0.0,205,0.5737314936609667,0,0.0,0.0
10-19,150,56.17977528089888,0,0.0,0.0,117,43.82022471910113,0,0.0,0.0,270,0.7556463575046879,0,0.0,0.0
20-29,603,45.1685393258427,0,0.0,0.0,732,54.831460674157306,0,0.0,0.0,1374,3.8454003526349667,0,0.0,0.0
30-39,1261,51.1977263499797,7,77.77777777777779,0.5551149881046789,1202,48.8022736500203,2,22.22222222222222,0.16638935108153077,2525,7.066692787775321,9,0.29537249753856254,0.3564356435643565
40-49,2186,50.7310280807612,16,64.0,0.7319304666056725,2123,49.2689719192388,9,36.0,0.4239284032030146,4396,12.30304217626151,25,0.8204791598293404,0.5686988171064604
50-59,3775,56.334875391732574,63,76.82926829268293,1.6688741721854305,2926,43.665124608267426,19,23.170731707317074,0.6493506493506493,6834,19.126248915507542,83,2.72399081063341,1.2145156570090723
60-69,4221,67.57925072046109,252,81.55339805825243,5.970149253731343,2025,32.42074927953891,57,18.446601941747574,2.814814814814815,6337,17.73529987965632,312,10.239579914670168,4.92346536215875
70-79,4702,67.24828375286042,837,77.28531855955679,17.80093577201191,2290,32.75171624713959,246,22.71468144044321,10.74235807860262,7121,19.929473006632893,1090,35.77289136855924,15.306838927116978
80-89,3158,60.06085964244961,835,67.50202101859337,26.44078530715643,2100,39.9391403575504,402,32.497978981406625,19.142857142857142,5352,14.9785900198707,1243,40.794223826714806,23.224962630792227
>=90,397,36.38863428047663,129,45.42253521126761,32.49370277078086,694,63.61136571952337,155,54.5774647887324,22.334293948126803,1115,3.1205395874730626,285,9.35346242205448,25.56053811659193
unknown,115,57.49999999999999,0,0.0,0.0,85,42.5,0,0.0,0.0,202,0.5653354230220257,0,0.0,0.0
