age,value
0,418740
1,442447
2,463362
3,477996
4,490243
5,505561
6,513665
7,536141
8,544388
9,560173
10,569248
11,575824
12,574361
13,575271
14,571928
15,578196
16,573896
17,571317
18,580319
19,596628
20,593715
21,599484
22,597748
23,599675
24,598676
25,605814
26,617756
27,644692
28,643162
29,656461
30,655623
31,671009
32,658653
33,662032
34,682299
35,694891
36,706739
37,731088
38,736024
39,754362
40,777294
41,818054
42,843704
43,880040
44,920992
45,957581
47,960396
48,969541
46,951337
49,960860
50,985869
51,978717
52,982066
53,989731
54,986686
55,998867
56,936195
57,903517
58,884183
59,855349
60,832840
61,794365
62,784198
63,766201
64,749495
65,735577
66,699020
67,684773
68,679036
69,699670
70,699202
71,723846
72,701305
73,693524
74,529218
75,537137
76,533825
77,521472
78,514250
79,553051
80,529120
81,496640
82,441465
83,395082
84,381533
85,346123
86,310394
87,274757
88,246680
89,225682
90,178879
91,148921
92,121877
93,95652
94,73722
95,55806
96,41566
97,29365
98,20559
99,13421
>=100,14804
